year,code,varroa,spores,cbpv_max,dwv_max,iapv_max,kbv_max,sbpv_max,abpv_max,dwv-b_max,lsv2_max,mkv_max,cbpv_prob,dwv_prob,iapv_prob,kbv_prob,sbpv_prob,abpv_prob,dwv-b_prob,lsv2_prob,mkv_prob,prevyearspores,prevyearvarroa,state
2019,AR,4.383571428571428,0.10535714285714286,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03571428571428571,0.8928571428571429,0.14285714285714285,0.03571428571428571,0.0,0.07142857142857142,0.9642857142857143,0.10714285714285714,0.0,0.03333333333333334,5.167619047619048,Arkansas
2020,AR,3.78375,0.024999999999999998,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.041666666666666664,0.875,0.125,0.0,0.0,0.125,0.9583333333333334,0.16666666666666666,0.0,0.10535714285714286,4.383571428571428,Arkansas
2009,CA,1.8308333333333333,0.17500000000000002,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,0.6402461470002417,1.5066571601737264,California
2010,CA,1.2824242424242425,0.7593939393939394,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.02857142857142857,0.7428571428571429,0.37142857142857144,0.2857142857142857,0.0,0.0,1.0,0.0,0.0,0.17500000000000002,1.8308333333333333,California
2011,CA,1.6966666666666665,0.7068421052631578,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.07017543859649122,0.8596491228070176,0.2631578947368421,0.21052631578947367,0.0,0.43859649122807015,1.0,0.0,0.0,0.7593939393939394,1.2824242424242425,California
2012,CA,1.9657777777777778,0.2922222222222222,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6888888888888889,0.0,0.022222222222222223,0.0,0.1111111111111111,1.0,0.0,0.0,0.7068421052631578,1.6966666666666665,California
2013,CA,2.047142857142857,0.9042857142857144,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.045454545454545456,0.8636363636363636,0.06818181818181818,0.11363636363636363,0.0,0.3181818181818182,1.0,0.045454545454545456,0.0,0.2922222222222222,1.9657777777777778,California
2014,CA,1.6893617021276597,0.3377777777777778,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.125,0.8125,0.10416666666666667,0.1875,0.0,0.3125,1.0,0.3958333333333333,0.0,0.9042857142857144,2.047142857142857,California
2015,CA,1.199090909090909,1.0318181818181817,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.13636363636363635,0.8636363636363636,0.1590909090909091,0.11363636363636363,0.0,0.3409090909090909,1.0,0.6363636363636364,0.0,0.3377777777777778,1.6893617021276597,California
2016,CA,1.1847727272727273,0.7431818181818183,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1590909090909091,0.8636363636363636,0.13636363636363635,0.045454545454545456,0.0,0.3181818181818182,0.9772727272727273,0.6363636363636364,0.0,1.0318181818181817,1.199090909090909,California
2017,CA,1.169677419354839,0.7564516129032258,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0967741935483871,0.8709677419354839,0.3225806451612903,0.06451612903225806,0.0,0.3548387096774194,0.967741935483871,0.7096774193548387,0.0,0.7431818181818183,1.1847727272727273,California
2018,CA,1.7433333333333332,0.20833333333333334,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.08333333333333333,0.875,0.08333333333333333,0.0,0.0,0.08333333333333333,0.9583333333333334,0.3333333333333333,0.0,0.7564516129032258,1.169677419354839,California
2019,CA,1.358157894736842,0.9,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.07894736842105263,0.6052631578947368,0.2894736842105263,0.0,0.0,0.13157894736842105,0.9736842105263158,0.5526315789473685,0.0,0.20833333333333334,1.7433333333333332,California
2020,CA,0.9126470588235295,0.8676470588235294,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.11764705882352941,0.8823529411764706,0.2647058823529412,0.0,0.0,0.08823529411764706,0.9705882352941176,0.7352941176470589,0.029411764705882353,0.9,1.358157894736842,California
2011,CO,10.405263157894737,0.06578947368421052,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9473684210526315,0.05263157894736842,0.0,0.0,0.0,1.0,0.0,0.0,0.07721082219437483,3.520292745753272,Colorado
2012,CO,2.0777777777777775,0.027777777777777776,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.06578947368421052,10.405263157894737,Colorado
2013,CO,1.9866666666666666,0.16666666666666669,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.875,0.0,0.0625,0.0,0.0625,1.0,0.0,0.0,0.027777777777777776,2.0777777777777775,Colorado
2016,CO,3.1752631578947366,0.15526315789473685,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.10526315789473684,0.7368421052631579,0.15789473684210525,0.0,0.0,0.2631578947368421,0.8947368421052632,0.21052631578947367,0.0,0.07721082219437483,3.520292745753272,Colorado
2017,CO,1.2242857142857144,0.0071428571428571435,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.07142857142857142,0.7857142857142857,0.07142857142857142,0.0,0.0,0.07142857142857142,0.7142857142857143,0.35714285714285715,0.0,0.15526315789473685,3.1752631578947366,Colorado
2018,CO,2.2525,0.040625,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0625,0.25,0.125,0.0,0.0,0.0625,0.875,0.1875,0.0,0.0071428571428571435,1.2242857142857144,Colorado
