,State,Year,Prev Days with AQI,Prev Good Days,Prev Moderate Days,Prev Unhealthy for Sensitive Groups Days,Prev Unhealthy Days,Prev Very Unhealthy Days,Prev Hazardous Days,Prev Max AQI,Prev 90th Percentile AQI,Prev Median AQI,Prev Days CO,Prev Days NO2,Prev Days Ozone,Prev Days PM2.5,Prev Days PM10,5 Year Avg Days with AQI,5 Year Avg Good Days,5 Year Avg Moderate Days,5 Year Avg Unhealthy for Sensitive Groups Days,5 Year Avg Unhealthy Days,5 Year Avg Very Unhealthy Days,5 Year Avg Hazardous Days,5 Year Avg Max AQI,5 Year Avg 90th Percentile AQI,5 Year Avg Median AQI,5 Year Avg Days CO,5 Year Avg Days NO2,5 Year Avg Days Ozone,5 Year Avg Days PM2.5,5 Year Avg Days PM10
309,Hawaii,2011.0,357.6666666666667,221.66666666666666,130.66666666666666,4.333333333333333,1.0,0.0,0.0,155,58.333333333333336,40.333333333333336,0.0,0.3333333333333333,28.0,326.3333333333333,3.0,325.3,252.43333333333334,67.95,3.8499999999999988,1.0666666666666667,0.0,0.0,159.8,48.65,28.71666666666667,1.4833333333333334,6.1,41.83333333333333,184.91666666666666,90.96666666666667
310,Hawaii,2012.0,331.0,251.0,79.75,0.25,0.0,0.0,0.0,101,48.75,32.25,1.25,13.5,32.5,282.25,1.5,333.2,245.53333333333336,82.75,3.8499999999999988,1.0666666666666667,0.0,0.0,150.2,51.95,32.31666666666667,0.5833333333333334,6.9,41.233333333333334,229.71666666666664,54.766666666666666
311,Hawaii,2013.0,361.5,268.0,93.0,0.0,0.5,0.0,0.0,172,52.0,36.25,4.0,3.75,32.25,320.25,1.25,350.83333333333337,247.1333333333333,98.75,3.8499999999999988,1.1,0.0,0.0,151.8,53.95,36.43333333333334,1.05,4.9833333333333325,39.016666666666666,278.56666666666666,27.21666666666667
312,Hawaii,2014.0,364.25,280.0,84.25,0.0,0.0,0.0,0.0,93,49.0,32.25,1.25,18.0,35.25,309.0,0.75,355.4166666666667,254.66666666666666,97.86666666666666,2.2499999999999987,0.6333333333333332,0.0,0.0,136.8,52.61666666666666,35.41666666666667,1.3,7.383333333333333,33.13333333333333,310.96666666666664,2.6333333333333337
313,Hawaii,2015.0,349.75,293.75,55.0,0.75,0.25,0.0,0.0,195,43.5,30.25,0.5,13.25,57.75,274.25,4.0,352.83333333333337,262.8833333333333,88.53333333333333,1.066666666666665,0.3499999999999999,0.0,0.0,143.2,50.31666666666667,34.266666666666666,1.4,9.766666666666667,37.15,302.41666666666663,2.1
314,Hawaii,2016.0,364.25,276.5,87.75,0.0,0.0,0.0,0.0,98,48.5,32.75,0.0,32.5,40.25,287.25,4.25,354.15,273.85,79.95,0.19999999999999857,0.1499999999999999,0.0,0.0,131.8,48.35,32.75,1.4,16.2,39.6,294.6,2.35
315,Hawaii,2017.0,364.0,269.75,92.75,1.5,0.0,0.0,0.0,130,46.5,31.75,0.0,15.5,70.5,272.75,5.25,360.75,277.6,82.55,0.44999999999999857,0.1499999999999999,0.0,0.0,137.6,47.9,32.65,1.15,16.6,47.2,292.7,3.1
316,Hawaii,2018.0,363.25,308.0,55.25,0.0,0.0,0.0,0.0,97,45.0,28.75,0.25,23.0,71.75,268.25,0.0,361.1,285.6,75.0,0.44999999999999857,0.04999999999999991,0.0,0.0,122.6,46.5,31.15,0.4,20.45,55.1,282.3,2.85
317,Hawaii,2019.0,361.5,318.5,39.5,3.0,0.5,0.0,0.0,153,46.25,27.5,0.25,42.0,67.75,249.75,1.75,360.55,293.3,66.05,1.0499999999999985,0.1499999999999999,0.0,0.0,134.6,45.95,30.2,0.2,25.25,61.6,270.45,3.05
318,Hawaii,2020.0,363.75,358.0,4.75,0.75,0.25,0.0,0.0,166,30.5,17.75,0.25,37.25,78.25,247.75,0.25,363.35,306.15,56.0,1.0499999999999985,0.1499999999999999,0.0,0.0,128.8,43.35,27.7,0.15,30.05,65.7,265.15,2.3
319,Hawaii,2021.0,361.5,358.5,3.0,0.0,0.0,0.0,0.0,80,28.5,17.25,0.0,21.5,77.0,262.25,0.75,362.8,322.55,39.05,1.0499999999999985,0.1499999999999999,0.0,0.0,125.2,39.35,24.6,0.15,27.85,73.05,260.15,1.6
320,Hawaii,2022.0,363.75,361.5,2.25,0.0,0.0,0.0,0.0,60,29.75,18.25,0.25,13.25,77.25,270.5,2.5,362.75,340.9,20.95,0.7499999999999986,0.1499999999999999,0.0,0.0,111.2,36.0,21.9,0.2,27.4,74.4,259.7,1.05
321,Idaho,1999.0,146.38888888888889,130.88888888888889,14.61111111111111,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.0,243,46.111111111111114,24.0,19.555555555555557,23.27777777777778,19.61111111111111,12.277777777777779,71.66666666666667,146.38888888888889,130.88888888888889,14.61111111111111,0.6666666666666595,0.11111111111111066,0.1111111111111111,0.0,243.0,46.111111111111114,24.0,19.555555555555557,23.27777777777778,19.61111111111111,12.277777777777722,71.66666666666667
322,Idaho,2000.0,199.42105263157896,166.42105263157896,25.894736842105264,3.8421052631578947,3.0526315789473686,0.15789473684210525,0.05263157894736842,489,49.63157894736842,26.526315789473685,31.94736842105263,17.36842105263158,18.473684210526315,43.94736842105263,87.6842105263158,172.90497076023394,148.65497076023394,20.252923976608187,2.2543859649122773,1.5818713450292397,0.13450292397660818,0.02631578947368421,366.0,47.87134502923976,25.263157894736842,25.751461988304094,20.32309941520468,19.042397660818715,28.112573099415176,79.67543859649123
323,Idaho,2001.0,197.47368421052633,161.57894736842104,30.736842105263158,3.473684210526316,1.5263157894736843,0.15789473684210525,0.0,217,55.526315789473685,26.263157894736842,28.210526315789473,5.842105263157895,18.36842105263158,54.526315789473685,90.52631578947368,181.09454191033137,152.96296296296296,23.747563352826507,2.66081871345029,1.5633528265107213,0.14230019493177387,0.017543859649122806,316.3333333333333,50.423001949317744,25.596491228070175,26.571150097465885,15.496101364522417,18.817738791423,36.91715399610135,83.29239766081872
324,Idaho,2002.0,211.47368421052633,174.26315789473685,34.36842105263158,2.473684210526316,0.3684210526315789,0.0,0.0,164,52.31578947368421,27.63157894736842,23.210526315789473,0.05263157894736842,29.0,76.78947368421052,82.42105263157895,188.68932748538012,158.28801169590645,26.40277777777778,2.6140350877192966,1.2646198830409356,0.1067251461988304,0.013157894736842105,278.25,50.89619883040936,26.105263157894736,25.730994152046783,11.635233918128655,21.36330409356725,46.88523391812864,83.07456140350877
